Table 1
Name,Donation_Amount,,,,,
"Ayotte, Kelly (R-NH)","$2,500.00",,,,,
"Blunt, Roy (R-MO)","$2,500.00",,,,,
"Boozman, John (R-AR)","$3,000.00",,,,,
"Burr, Richard (R-NC)","$2,500.00",,,,,
"Hatch, Orrin G (R-UT)","$2,500.00",,,,,
"Heck, Joe (R-NV)","$2,500.00",,,,,
"Hoeven, John (R-ND)","$6,000.00",,,,,
"Isakson, Johnny (R-GA)","$2,500.00",,,,,
"McCain, John (R-AZ)","$1,000.00",,,,,
"Moran, Jerry (R-KS)","$2,500.00",,,,,
"Portman, Rob (R-OH)","$5,500.00",,,,,
"Rubio, Marco (R-FL)","$2,500.00",,,,,
"Scott, Tim (R-SC)","$1,000.00",,,,,
"Shelby, Richard C (R-AL)",$0.00,,,,,
"Tester, Jon (D-MT)","$2,500.00",,,,,
"Wyden, Ron (D-OR)","$1,000.00",,,,,
"Young, Todd (R-IN)","$2,500.00",,,,,
