Table 1
Name,Donation_Amount,,,,,
"Bishop, Sanford (D-GA)","$2,000",,,,,
"Black, Diane (R-TN)","$2,500",,,,,
"Carter, John (R-TX)","$5,000",,,,,
"Cuellar, Henry (D-TX)","$3,500",,,,,
"Culberson, John (R-TX)","$7,500",,,,,
"Fleischmann, Chuck (R-TN)","$1,500",,,,,
"Gianforte, Greg (R-MT)","$1,000",,,,,
"Harper, Gregg (R-MS)","$2,500",,,,,
"Hurd, Will (R-TX)","$2,500",,,,,
"McCaul, Michael (R-TX)","$3,500",,,,,
"Pence, Greg (R-IN)","$2,500",,,,,
"Rogers, Hal (R-KY)","$5,000",,,,,
"Rose, John (R-TN)","$2,500",,,,,
"Ryan, Tim (D-OH)","($2,500)",,,,,
"Taylor, Scott W (R-VA)","$1,500",,,,,
"Walorski, Jackie (R-IN)","$2,500",,,,,
"Yoder, Kevin (R-KS)","$5,000",,,,,
