Table 1
Name,Donation_Amount,,,,
"Blackburn, Marsha (R-TN)",$10000.00,,,,
"Braun, Mike (R-IN)",$2700.00,,,,
"Capito, Shelley Moore (R-WV)",$2500.00,,,,
"Corker, Bob (R-TN)",$2500.00,,,,
"Crapo, Mike (R-ID)",$5000.00,,,,
"Cruz, Ted (R-TX)",$5000.00,,,,
"Daines, Steven (R-MT)",$2500.00,,,,
"Flake, Jeff (R-AZ)	",$5000.00,,,,
"Gardner, Cory (R-CO)",$2500.00,,,,
"Graham, Lindsey (R-SC)",$2500.00,,,,
"Hatch, Orrin G (R-UT)",$2500.00,,,,
"Heinrich, Martin (D-NM)",$2500.00,,,,
"Heller, Dean (R-NV)",$5000.00,,,,
"Hoeven, John (R-ND)",$6000.00,,,,
"Hyde-Smith, Cindy (R-MS)",$2500.00,,,,
"McSally, Martha (R-AZ)",$5000.00,,,,
"Moran, Jerry (R-KS)",$2500.00,,,,
"Strange, Luther (R-AL)",$2000.00,,,,
"Tester, Jon (D-MT)",$2500.00,,,,
"Wicker, Roger (R-MS)",$5000.00,,,,
"Young, Todd (R-IN)",$1000.00,,,,
