Table 1
,Name,Donation_Amount,,,,
,"Aderholt, Robert B (R-AL)","$5,500",,,,
,"Barr, Andy (R-KY)","$2,500",,,,
,"Bass, Karen (D-CA)",$0,,,,
,"Bishop, Mike (R-MI)","$5,000",,,,
,"Blum, Rod (R-IA)","($2,500)",,,,
,"Bost, Mike (R-IL)","$2,500",,,,
,"Brady, Kevin (R-TX)",$0,,,,
,"Buchanan, Vernon (R-FL)","$2,500",,,,
,"Budd, Ted (R-NC)","$2,500",,,,
,"Burns, Mark (R-SC)","$5,000",,,,
,"Carter, Buddy (R-GA)","$5,000",,,,
,"Carter, John (R-TX)","$10,000",,,,
,"Chabot, Steve (R-OH)","$2,500",,,,
,"Cleaver, Emanuel (D-MO)",$0,,,,
,"Coffman, Mike (R-CO)","$10,000",,,,
,"Cole, Dave (D-NJ)","$5,000",,,,
,"Collins, Doug (R-GA)","$5,000",,,,
,"Comstock, Barbara (R-VA)","$2,500",,,,
,"Conyers, John Jr (D-MI)",$0,,,,
,"Cook, Paul (R-CA)","$5,000",,,,
,"Cuellar, Henry (D-TX)","$10,000",,,,
,"Culberson, John (R-TX)","$10,000",,,,
,"Curbelo, Carlos (R-FL)","$7,500",,,,
,"Davis, Danny K (D-IL)","$1,250",,,,
,"Denham, Jeff (R-CA)","$2,500",,,,
,"DeSantis, Ron (R-FL)","$5,000",,,,
,"Epstein, Lena (R-MI)","$1,500",,,,
,"Evans, Dwight (D-PA)","$1,000",,,,
,"Faso, John (R-NY)","$2,500",,,,
,"Fitzpatrick, Brian (R-PA)","$2,500",,,,
,"Gaetz, Matt (R-FL)","$5,000",,,,
,"Gonzalez, Vicente (D-TX)","$5,000",,,,
,"Goodlatte, Bob (R-VA)","$2,500",,,,
,"Granger, Kay (R-TX)","$5,000",,,,
,"Graves, Tom (R-GA)","$10,000",,,,
,"Hastings, Alcee L (D-FL)","$1,000",,,,
,"Heck, Dennis (D-WA)",$0,,,,
,"Herrell, Yvette (R-NM)","$2,000",,,,
,"Hurd, Will (R-TX)",$0,,,,
,"Jeffries, Hakeem (D-NY)",$0,,,,
,"Katko, John (R-NY)","($4,000)",,,,
,"Knight, Steve (R-CA)","$2,500",,,,
,"Lewis, Jason (R-MN)","$2,500",,,,
,"Lieu, Ted (D-CA)",$0,,,,
,"Lujan, Ben Ray (D-NM)","$5,000",,,,
,"MacArthur, Thomas (R-NJ)","$2,500",,,,
,"Marchant, Kenny (R-TX)","$1,000",,,,
,"Mast, Brian (R-FL)","$5,000",,,,
,"McCarthy, Kevin (R-CA)",$0,,,,
,"McCaul, Michael (R-TX)","$2,500",,,,
,"Miller, Mike (R-FL)","$1,500",,,,
,"Montenegro, Steve (R-AZ)","$1,000",,,,
,"Pence, Greg (R-IN)","$5,000",,,,
,"Poliquin, Bruce (R-ME)","$2,500",,,,
,"Price, David (D-NC)","$1,000",,,,
,"Ratcliffe, John Lee (R-TX)","$1,000",,,,
,"Roby, Martha (R-AL)","$1,000",,,,
,"Rogers, Mike D (R-AL)","$2,500",,,,
,"Roskam, Peter (R-IL)","$2,000",,,,
,"Roybal-Allard, Lucille (D-CA)","($2,250)",,,,
,"Ruppersberger, Dutch (D-MD)","$1,000",,,,
,"Rutherford, John (R-FL)","$5,000",,,,
,"Ryan, Paul (R-WI)","($5,000)",,,,
,"Saccone, Rick (R-PA)","$2,500",,,,
,"Schneider, Brad (D-IL)","$1,000",,,,
,"Smith, Steve (R-AZ)","$1,000",,,,
,"Spano, Ross (R-FL)","$1,000",,,,
,"Swalwell, Eric (D-CA)",$0,,,,
,"Tarkanian, Danny (R-NV)","$1,000",,,,
,"Taylor, Scott W (R-VA)","$7,500",,,,
,"Tenney, Claudia (R-NY)","$2,500",,,,
,"Thompson, Bennie G (D-MS)","$2,500",,,,
,"Thompson, Glenn (R-PA)","$1,000",,,,
,"Valadao, David (R-CA)","$2,500",,,,
,"Vela, Filemon (D-TX)",$0,,,,
,"Waltz, Michael (R-FL)","$1,500",,,,
,"Yoder, Kevin (R-KS)","$5,000",,,,
