Table 1
,Name,Donation_Amount,,,,
,"Blackburn, Marsha (R-TN)","$5,000",,,,
,"Boozman, John (R-AR)","$2,500",,,,
,"Cassidy, Bill (R-LA)","$5,000",,,,
,"Coons, Chris (D-DE)",$0,,,,
,"Cornyn, John (R-TX)","$5,000",,,,
,"Cramer, Kevin (R-ND)","$5,000",,,,
,"Durbin, Dick (D-IL)",$0,,,,
,"Graham, Lindsey (R-SC)","$5,000",,,,
,"Grassley, Chuck (R-IA)","$5,000",,,,
,"Hatch, Orrin G (R-UT)",$0,,,,
,"Hawley, Josh (R-MO)","$10,000",,,,
,"Heller, Dean (R-NV)","$6,000",,,,
,"James, John (R-MI)","$5,000",,,,
,"Johnson, Ron (R-WI)","$2,500",,,,
,"Kennedy, John (R-LA)","$2,500",,,,
,"Klobuchar, Amy (D-MN)",$0,,,,
,"Lankford, James (R-OK)",$0,,,,
,"Lee, Mike (R-UT)","$5,000",,,,
,"Mandel, Josh (R-OH)","($5,000)",,,,
,"McSally, Martha (R-AZ)","$7,500",,,,
,"Morrisey, Patrick (R-WV)","$5,000",,,,
,"Rubio, Marco (R-FL)","($5,000)",,,,
,"Scott, Rick (R-FL)","$5,000",,,,
,"Tester, Jon (D-MT)","$4,000",,,,
